SMILES,Hf(298K),S(298.15),C300,C400,C500,C600,C800,C1000,C1500
CCC1(COO)COC1,-59.42,96.11,38.91,49.82,59.41,67.36,79.4,88.03,101.13
C(OO)CC=CCC,-30.21,103.62,42.12,50.96,58.4,64.62,74.49,81.98,93.95
CC1(COC1CC)OO,-66.88,100.96,41.71,52.06,61.1,68.57,79.92,88.08,100.62
CC(OO)C=CCC,-34.25,104.31,41.55,50.12,57.61,63.93,73.89,81.35,93.19
OOC(C1(C)COC1)C,-63.32,95.02,38.86,49.57,59.03,66.91,78.95,87.63,100.86
OOCC(C=C)(C)C,-32.81,93.82,40.74,50.38,58.56,65.33,75.71,83.31,95.19
CC(C1OCC1C)OO,-64.62,94.64,38.93,50.03,59.64,67.53,79.46,88.02,101.08
CC(C=C)(OO)CC,-35.52,98.19,39.76,49.03,57.16,63.96,74.53,82.35,94.62
OOCCC1(C)COC1,-59.34,95.91,37.68,48.85,58.83,67.16,79.84,88.9,102.57
CCC(C=C)COO,-30.39,98.28,41.14,51.98,60.36,66.78,76.37,83.55,95.14
CC1COC1CCOO,-63.33,95.36,37.7,48.91,58.81,67.02,79.46,88.34,101.78
OOC(C(C=C)C)C,-33.31,100.27,41.92,51.46,59.33,65.74,75.65,83.08,94.96
CC1(COO)COC1C,-65.09,94.19,39.16,50.18,59.74,67.61,79.54,88.09,101.13
CC(C=C)CCOO,-30.59,94.11,39.4,50.06,58.7,65.59,76,83.67,95.78
OOCC1COC(C1)C,-82.25,92.22,36.65,48.29,58.48,66.86,79.44,88.37,101.81
CC(=CCOO)CC,-32.2,100.38,37.81,47.09,55.45,62.53,73.57,81.71,94.36
OOCC1OCC1(C)C,-65.73,92.7,38.95,50.28,60.04,68.01,79.95,88.45,101.35
OOCC(=CC)CC,-32.41,101.51,38.83,47.65,55.84,62.86,73.86,81.95,94.53
OOC1(C)COC(C1)C,-86.83,90.72,37.45,48.38,58.01,66.15,79.78,91.94,109.77
OOC(C(=CC)C)C,-37.34,101.86,37.44,46.41,54.6,61.59,72.55,80.66,93.32
OOCC1(C)COCC1,-77.88,96.13,38.19,49.19,58.98,67.13,79.51,88.36,101.76
CC(=CC)CCOO,-33.26,100.24,41.36,51.17,58.96,65.2,74.86,82.18,93.98
OOC1C(C)COC1C,-81.55,93.37,37.12,47.62,56.97,64.82,76.86,85.56,98.89
CCC(=C)CCOO,-31.22,101.21,43.91,52.56,59.78,65.85,75.46,82.72,94.33
OOC1COCC1(C)C,-80.92,94.87,39.24,50.21,59.83,67.76,79.71,88.24,101.2
CC(C(=C)CC)OO,-35.29,97.52,39.48,48.97,57.29,64.21,74.86,82.66,94.84
CC1CC(OC1)COO,-80.23,93.67,37.94,49.61,59.54,67.58,79.56,88.1,101.11
OOCC(=C)C(C)C,-31.97,98.13,38.62,48.44,57.06,64.16,74.87,82.56,94.42
OOCC(C1OC1)(C)C,-62.46,95.68,40.01,50.87,60.27,68.02,79.75,88.18,101.11
OOC(C(=C)C)(C)C,-39.2,92.57,40.06,49.89,58.15,64.91,75.26,82.89,94.9
OOCC1CCCOC1,-80.59,91.17,35.19,46.83,57.23,65.91,79.06,88.39,102.35
CC(C(=C)C)COO,-34.01,96.69,40.63,50.62,58.64,65.1,75.11,82.65,94.72
OOC1(C)CCCOC1,-86.11,92.01,37.74,48.88,58.7,66.87,79.29,88.19,101.66
OOCC(=C(C)C)C,-34.24,97.51,35.22,44.15,52.44,59.58,70.84,79.15,92.07
OOC1CCOCC1C,-83.03,94.49,37.73,48.67,58.45,66.64,79.13,88.07,101.61
CCCC(=C)COO,-30.23,108.01,38.67,47.92,56.09,62.91,73.42,81.14,93.17
CC1CC(COC1)OO,-82.91,93.47,37.45,48.58,58.46,66.7,79.22,88.18,101.69
CCC(C(=C)C)OO,-35.71,99.43,38.87,48.2,56.48,63.45,74.26,82.22,94.62
CC1(COO)OC1CC,-67.16,102.01,40.26,50.61,59.74,67.36,78.99,87.4,100.27
CC(OO)CC(=C)C,-37.26,93.83,38.31,48.11,56.63,63.74,74.73,82.81,95.38
OOC(C1OC1(C)C)C,-70.48,98.32,41.6,51.65,60.41,67.74,79.06,87.34,100.16
OOCCCC(=C)C,-32.63,94.81,41.15,50.01,57.67,64.29,74.9,82.87,95.42
OOCCC1OC1(C)C,-68.45,97.56,39.97,50.38,59.59,67.3,79.15,87.73,100.88
CC(=CCC)COO,-32.2,106.39,38.8,47.82,55.91,62.73,73.29,81.05,93.14
CC1(COO)CC(O1)C,-73.39,93.67,39.29,50.63,60.33,68.23,80.06,88.49,101.33
OOC(C=C(C)C)C,-37.83,97.24,38.89,48.01,56.14,63.04,73.86,81.87,94.41
OOC1C(C)OC1(C)C,-72.79,94.36,43.99,56.98,65.32,71.29,80.76,88.25,100.45
OOCCC=C(C)C,-33.44,95.89,39.03,48.68,56.87,63.68,74.28,82.18,94.57
OOCC1CC(O1)(C)C,-72.87,92.78,39.11,50.64,60.46,68.42,80.25,88.65,101.42
CC(C=CC)COO,-32.49,100.76,42.28,51.62,59.24,65.42,75.04,82.34,94.09
OOCC1(C)CCCO1,-84,92.45,37.9,49.76,59.93,68.13,80.19,88.65,101.43
OOC(C=CC)(C)C,-38.39,99.67,41.2,49.87,57.58,64.13,74.38,82,94.02
OOC1CCOC1(C)C,-84.85,91.7,37.08,48.12,57.79,65.79,77.91,86.6,100.19
OOCC=CC(C)C,-31.45,104.19,40.56,49.29,57.06,63.62,73.83,81.39,93.27
OOC1COC(C1)(C)C,-86.37,90.29,36.91,48.03,57.92,66.2,78.94,88.23,103.08
OOCC(CC=C)C,-30.54,96.18,39.21,48.56,56.86,63.87,74.78,82.84,95.39
CC(C1OC1C)COO,-64.95,98.61,39.62,50.05,59.34,67.13,79.06,87.68,100.87
OOC(CC=C)(C)C,-37.6,95.28,41.2,50.28,58.16,64.78,75.08,82.73,94.82
OOC(C1OC1C)(C)C,-68.99,97.26,41.66,51.97,60.85,68.2,79.43,87.61,100.29
OOC(C(C)C)C=C,-33.97,95.79,39.58,48.98,57.21,64.09,74.74,82.57,94.8
OOCC1OC1C(C)C,-61.75,99.72,43.24,52.69,61.11,68.29,79.48,87.69,100.39
CC(C1CCO1)COO,-64.46,94.31,37.45,48.73,58.68,66.93,79.4,88.3,101.75
OOC(C1CCO1)(C)C,-68.93,94.77,40.48,51.83,61.28,68.84,80.06,88.11,100.55
OOC1COC1C(C)C,-63.17,98.79,39.97,50.61,60.01,67.8,79.63,88.14,101.12
OOCC(CC1CO1)C,-60.65,96.48,38.91,49.85,59.52,67.56,79.75,88.49,101.79
OOC(CC1OC1)(C)C,-68.01,95.28,40.33,51.19,60.51,68.18,79.8,88.19,101.08
OOC(C1OC1)C(C)C,-62.88,96.41,39.9,50.78,60.22,67.98,79.73,88.17,101.11
CC(C1CO1)(OO)CC,-65.91,96.84,40.24,50.81,60.04,67.71,79.42,87.89,100.92
OOC1(COC1)C(C)C,-63.18,97.18,40.26,50.82,60.02,67.64,79.2,87.54,100.32
CCC(C1CO1)COO,-58.13,100.31,38.58,49.42,59.04,67.04,79.17,87.85,101.02
OOC(C1COC1)(C)C,-65.48,92.71,39.14,50.22,59.78,67.63,79.5,88.02,101.05
OOC(C(C1OC1)C)C,-62.19,95.42,39.66,50.58,60.07,67.89,79.71,88.17,101.12
OOCC(C1COC1)C,-57.59,94.29,37.47,48.67,58.61,66.86,79.36,88.28,101.76
CC(C)CCC=O,-61.9,88.21,31.07,39.62,47.55,54.41,65.31,73.43,86.18
CC(C1CO1)CCOO,-60,95.67,38.44,49.7,59.65,67.87,80.19,88.91,102.06
C1C(O1)CCCC,-37.27,97.46,33.16,42.22,50.46,57.41,68.18,76.09,88.31
OOCC1(OC1)C(C)C,-64.09,100.34,40.61,51.27,60.47,68.03,79.49,87.75,100.44
C1CC(O1)CCC,-40.08,92.51,31.86,41.35,50.01,57.3,68.51,76.66,89.14
CC1(CC)OCC1OO,-67.77,102.09,41.05,51.44,60.57,68.13,79.6,87.85,100.49
C1CCC(O1)CC,-59.1,84.82,30.02,40,49.11,56.81,68.69,77.31,90.42
OOC(C1(C)OC1)(C)C,-71.18,95.84,41.43,51.99,61.04,68.52,79.95,88.24,101.08
C1CCCC(O1)C,-63.71,81.39,29.65,39.77,48.93,56.67,68.62,77.28,90.43
CCC1(COO)CCO1,-66.96,95.39,36.81,48.31,59.33,69.25,84.18,92.68,102.63
CC1C(O1)CCC,-42.65,95.62,33.81,42.67,50.68,57.48,68.11,75.97,88.21
CC(C1(C)CO1)COO,-64.1,94.45,39.9,50.99,60.5,68.29,80.02,88.42,101.26
CC1CC(O1)CC,-46.06,89.6,32.3,42.08,50.77,58,69.05,77.05,89.32
OOC(C1(C)CCO1)C,-69.95,94.32,40.51,52.38,62.29,70.05,81.15,88.92,100.92
CC1CCC(O1)C,-63.81,85.18,31.21,41.18,50.05,57.47,68.86,77.14,89.83
OOCC1COC1(C)C,-66.56,97.81,38.04,48.57,57.87,65.59,77.32,85.73,98.61
CCC1C(O1)CC,-42.84,95.23,33.77,42.84,50.9,57.69,68.25,76.06,88.23
CC1(CCOO)CCO1,-68.74,92.54,37.77,49.3,59.33,67.57,79.92,88.7,101.96
CCCCCC=O,-59.17,97.9,35.74,43.45,50.92,57.49,68.06,75.98,88.3
OOC1(C)COC1(C)C,-72.64,98.05,42.05,52.55,61.49,68.82,79.94,88,100.49
CC(=O)CCCC,-66.91,95.27,36.02,44.14,51.63,58.09,68.39,76.12,88.26
CCC1COCC1OO,-77.78,97.59,38.13,49.06,58.85,67.02,79.43,88.3,101.73
CCC1OCC1C,-41.95,86.58,31.75,41.32,49.98,57.29,68.65,76.96,89.72
CC1(COO)OCC1C,-68.63,96.33,39.32,50.05,59.46,67.29,79.23,87.84,100.99
CC1OCC(C1)C,-60.86,84.47,30.75,40.65,49.62,57.21,68.94,77.47,90.49
CCC1(OO)COCC1,-81.08,98.38,40.29,51.02,60.31,67.99,79.69,88.14,101.1
CC1CCCOC1,-61.15,81.58,29.57,39.59,48.73,56.48,68.48,77.19,90.4
CC1COCC1COO,-78.84,91.8,36.52,48.09,58.27,66.69,79.33,88.3,101.79
CCC1OC1(C)C,-47.24,92.47,34.35,43.1,51,57.72,68.26,76.07,88.25
OOC(C1COCC1)C,-78.9,93.55,35.99,46.9,56.8,65.12,77.79,86.85,100.52
CC1CC(O1)(C)C,-52.05,85.48,33.67,43.42,51.86,58.82,69.48,77.27,89.36
CC1(COCC1C)OO,-82.79,94.82,39.49,50.58,60.18,68.06,79.89,88.34,101.23
CC1(C)CCCO1,-63.84,81.57,31.53,41.68,50.57,57.93,69.18,77.35,89.9
OOCCC1COCC1,-74.38,103.98,38.88,49.98,59.68,67.65,79.65,88.21,101.21
O=CCCC(C(=O)C=O)OO,-123.42,107.25,42.68,52.2,60.44,67.25,77.51,84.7,95.27
O=CC=CC(CC=O)OO,-72.73,108.5,40.85,49.04,56.33,62.42,71.69,78.27,88.09
C=C=C1C=CC=C1,85.01,75.9,25.14,32.66,38.81,43.7,50.85,55.83,63.29
OOCC(C)CCCC,-65.61,103.23,44.61,57.07,68.27,77.71,92.36,103.1,119.73
c1cc(C)ccc1,12.36,77.85,24.62,33,40.32,46.36,55.42,61.83,71.42
CC(C)(OO)CCCC,-73.23,100.01,44.03,56.15,67.03,76.28,90.82,101.71,119.24
CC(C)C(OO)CCC,-69.17,107.92,46.73,58.3,68.75,77.64,91.58,101.92,118.12
CC1=CC=C(C)C1,16.13,82.32,29.83,38.08,45.58,51.95,61.87,69.1,80.17
CC(C)CC(OO)CC,-70.06,103.09,45.87,58.12,69,78.14,92.33,102.77,119.05
CC(C)CCC(OO)C,-70.04,102.07,45.61,58,68.98,78.17,92.39,102.83,119.09
CC(C)CCCCOO,-65.36,104.64,45.92,58.25,69.2,78.38,92.58,103,119.2
C(OO)CCCCCC,-63.46,109.75,44.97,57.04,68.06,77.47,92.16,102.97,119.7
CC(OO)CCCCC,-67.91,109.24,45.63,57.45,68.22,77.41,91.79,102.4,118.89
CCC(OO)CCCC,-67.87,107.84,46.18,58.22,69.01,78.11,92.28,102.73,119.03
C=C(C)C=C(C)C,6.01,91.67,35.5,43.94,51.5,58,68.41,76.25,88.63
CCCC(OO)CCC,-67.84,107.2,46.24,58.31,69.11,78.21,92.36,102.8,119.07
C1=CC(C=O)=CC(O)=C1,-51.67,85.37,30.89,39.26,46.3,51.98,60.29,65.99,74.29
OOCOC1=CC=CC=C1,-42.16,95.89,36.54,46.42,54.75,61.48,71.38,78.24,88.41
C1=CC(COO)=CC(O)=C1,-47.71,96.86,38.6,48.26,56.22,62.57,71.81,78.2,87.78
O=CC(COO)CCCC,-84.9,115.52,47.67,58.89,68.92,77.37,90.46,100.02,114.72
O=CC(C)(OO)CCCC,-90.45,112.72,47.86,59.11,69.1,77.5,90.49,99.98,114.64
O=CC(C)C(OO)CCC,-89.4,110.78,50.4,61.32,70.37,78.08,90.46,99.8,114.47
O=CC(C)CC(OO)CC,-92.52,105.81,45.42,57.46,68.17,77.2,91.14,101.28,116.75
O=CC(C)CCC(OO)C,-92.73,103.47,45.97,57.96,68.47,77.28,90.88,100.79,116.01
OOCC(C)C(=O)CCC,-94.02,104.56,46.21,57.9,68.26,77.02,90.61,100.55,115.84
CC(C)C(=O)C(OO)CC,-95.87,104.88,47.07,58.87,69.23,77.9,91.26,101.01,116.04
CC(C)C(=O)CC(OO)C,-97.85,108.55,47.48,58.8,68.7,77.01,89.93,99.45,114.25
CC(C)C(=O)CCCOO,-97.29,106.41,46.48,58.01,68.21,76.82,90.17,99.95,115.03
COc1c(O)cccc1,-60.67,86.07,32.98,42.35,50.3,56.75,66.28,72.91,82.79
OOCC(C)CC(=O)CC,-98.53,103.94,45.91,57.78,68.28,77.1,90.73,100.67,115.93
CCC1=CC=C(C=O)O1,-53.55,92.49,33.28,42.04,49.71,56.05,65.55,72.24,82.15
CC(C)(OO)CC(=O)CC,-101.86,105.68,48.94,60.33,70.05,78.15,90.72,100.01,114.52
OOCOC1=CC=CC=C1O,-85.78,99.14,40.33,51.39,60.3,67.27,77.26,84.08,94.2
O=CC=CC=C(C=O)C,-40,97.31,34.96,43.02,50.27,56.42,65.93,72.74,82.9
CC(C)C(OO)C(=O)CC,-95.96,108.7,47.52,58.8,68.78,77.18,90.17,99.69,114.42
c1c(COO)cccc1,-4.95,92.18,34.06,42.96,50.66,56.97,66.38,72.97,82.82
CC(C)CC(=O)C(OO)C,-95.63,110.74,49.51,61.3,71.3,79.42,91.64,100.51,114.35
CC(C)CC(=O)CCOO,-94.42,104.3,48.69,60.87,70.82,78.96,91.56,100.88,115.47
CC(=O)CC(=O)CCC,-97.79,106.87,49.54,56.87,62.67,68.29,78.21,86.04,98.53
OOCC(C)CCC(=O)C,-96.91,106.16,44.82,56.83,67.49,76.47,90.31,100.37,115.78
C(=O)CC(=O)CCCC,-89.75,106.84,39.26,49.31,58.34,66.01,77.97,86.71,100.06
CC(C)(OO)CCC(=O)C,-104.63,98.02,45.26,57.3,67.73,76.46,90.16,100.52,118.41
CCC(=O)CC(=O)CC,-98.69,103.93,44.4,52.5,60.04,66.77,77.77,86.1,99.11
CC(C)C(OO)CC(=O)C,-98.48,105.73,45.79,57.7,68.16,76.89,90.31,100.07,115.11
CC(C)CC(OO)C(=O)C,-95.85,109.75,48.01,59.24,69.12,77.45,90.36,99.84,114.51
CC(C)CCC(=O)COO,-91.74,115.49,43.85,56.36,68.13,78.49,93.94,103.37,115.62
CC(C)(OO)CCCC=O,-96.06,102.01,46.17,58.3,68.84,77.63,91.13,100.97,116.08
C=C(C)CCCC,-19,89.41,35.67,45.8,54.98,62.85,75.28,84.55,99
CC(C)C(OO)CCC=O,-92.81,104.06,45.43,57.55,68.23,77.16,90.89,100.84,116.06
CC(C)=CCCC,-19.76,94.11,36.47,46.02,54.82,62.38,74.39,83.37,97.45
CC(C)CC(OO)CC=O,-88.95,113.2,48.86,59.68,69.34,77.49,90.16,99.48,113.92
CC(C)C=CCC,-18.9,95.21,37.26,46.96,55.57,62.88,74.41,83.08,96.79
CC(C)CCC(OO)C=O,-87.82,106.92,47.43,59.36,69.68,78.24,91.36,100.91,115.61
CC(C)CC=CC,-19.06,97.1,37.67,47.08,55.72,63.12,74.78,83.47,97.09
O1CC(C1)(OO)CCCC,-66.6,111.87,45.71,57.48,68.06,76.93,90.54,100.36,115.35
CC(C)CCC=C,-16.85,90.7,36.93,46.91,55.9,63.54,75.54,84.48,98.49
OOCC(C)(O1)C1CCC,-71.32,107.69,45.75,57.62,68.21,77.11,90.81,100.74,115.95
C=CCCCCC,-14.55,99.21,36.47,46.14,55.08,62.73,74.77,83.72,97.68
OOCC(C)C(O1)C1CC,-70.41,103.4,44.87,57.17,67.98,76.99,90.76,100.71,115.94
CC=CCCCC,-17.19,97,36.73,46.13,54.87,62.43,74.44,83.44,97.52
CC(C)(OO)CC(O1)C1C,-77.29,102.8,45.89,57.91,68.37,77.07,90.41,100.1,115.07
CCC=CCCC,-16.73,100.87,37.18,46.5,55.07,62.44,74.14,82.93,96.76
CC(C)C(OO)CC(O1)C1,-69.92,102.78,44.47,57.04,68.05,77.16,90.96,100.88,116.03
C=C(C)CC(C)C,-20.59,92.18,38.03,47.72,56.38,63.76,75.39,84.1,97.82
O1CC(C1)C(OO)CCC,-65.37,106.96,43.89,56.27,67.25,76.38,90.25,100.19,115.29
CC(C)=CC(C)C,-22.75,76.69,30.96,40.7,49.72,57.54,70,79.33,93.9
CC(C)(O1)C1C(OO)CC,-75.7,107.43,47.04,58.48,68.57,77.03,90.09,99.63,114.38
CC(C)(C)C=CC,-21.81,90.09,37.87,47.93,56.84,64.3,75.83,84.3,97.51
CC(C)(OO)C(O1)C1CC,-74.66,101.53,46.4,58.69,69.19,77.84,91,100.55,115.31
CC(C)(C)CC=C,-19.79,93.66,36.75,47.36,56.72,64.45,76.19,84.68,97.81
CC(C)C(OO)C(O1)C1C,-71.65,102.96,45.89,57.86,68.36,77.11,90.52,100.24,115.19
CC(C)CC(OO)C(O1)C1,-68.57,108.03,44.31,56.5,67.33,76.37,90.13,100.03,115.15
O1CC(C1)CC(OO)CC,-65.93,101.25,42.47,55.21,66.58,76.08,90.55,100.92,116.61
CC(C)(O1)C1CC(OO)C,-78.22,103.53,46,57.85,68.24,76.92,90.29,100.03,115.05
C=C(COO)CCCC,-35.38,114.04,43.77,54.58,64.23,72.32,84.78,93.92,108.11
CC(C)C(O1)C1C(OO)C,-72.29,102.71,46.28,58.49,68.99,77.65,90.87,100.47,115.29
CC(OO)(C)C=CCC,-43.26,109.51,46.22,56.58,65.69,73.36,85.33,94.21,108.18
CC(C)CC(O1)C1COO,-67.13,106.05,44.78,57.26,68.22,77.26,90.9,100.65,115.51
C=C(C)C(OO)CCC,-40.71,108.9,44.37,55.05,64.6,72.66,85.19,94.43,108.8
O1CC(C1)CCC(OO)C,-65.81,99.4,42.63,55.51,66.87,76.32,90.69,101,116.63
C=C(C)CC(OO)CC,-42.61,102.73,44.16,55.51,65.34,73.51,86.09,95.32,109.7
OOCC(C)(O1)CC1CC,-78.32,102.85,44.79,57.46,68.41,77.4,90.95,100.66,115.48
C=C(C)CCC(OO)C,-41.95,101.41,46.17,56.83,65.95,73.69,85.95,95.12,109.57
CC(C)C(O1)C1CCOO,-70.41,101.82,44.57,57.13,68.11,77.2,90.98,100.9,116.05
C=C(C)CCCCOO,-39.07,98.3,41.82,53.57,63.96,72.68,86.14,95.95,111.05
OOCC(C)CC(O1)CC1,-70.09,101.5,42.59,55.41,66.81,76.3,90.71,101.04,116.66
OOCC(C)=CCCC,-37.54,110.71,44.67,55.1,64.51,72.45,84.79,93.88,108.05
OOCC1(CO1)CCCC,-68.06,103.94,44,56.54,67.65,76.92,91.06,101.24,116.73
CC(C)(OO)CC=CC,-45.35,102.47,46.66,56.88,65.91,73.58,85.64,94.65,108.84
CC(C)(O1)C(OO)C1CC,-78.19,103.91,47.07,59.15,69.52,78.08,91.16,100.67,115.38
CC(C)=C(OO)CCC,-42.64,105.02,41.67,52.33,62.16,70.75,85.21,97.04,113.77
OOCC(C)C(O1)CC1C,-74.92,97.38,42.62,55.34,66.78,76.7,92.94,104.99,120.27
CC(C)=CC(OO)CC,-43.35,104.48,42.63,53.1,62.52,70.52,83.02,92.27,106.8
CC(C)(OO)CC(O1)CC1,-76.11,99.78,44.2,56.87,67.89,76.99,90.8,100.75,115.96
CC(C)=CCC(OO)C,-43.06,109.79,43.06,53.86,63.47,71.57,84.14,93.38,107.78
O1CC1(C)C(OO)CCC,-72.49,110.55,46.49,58.13,68.36,76.91,90.07,99.65,114.42
CC(C)=CCCCOO,-40.4,100.24,42,53.2,63.31,71.88,85.22,95,110.08
CC(C)(O1)CC1C(OO)C,-81.24,98.39,45.72,59.72,71.39,80.43,93.12,101.88,115.4
OOCC(C)C=CCC,-37.84,107.55,45.92,56.51,65.67,73.38,85.51,94.56,108.82
CC(C)(OO)C(O1)CC1C,-80.23,99.13,43.73,56.19,66.89,75.67,88.98,98.58,113.37
CC(C)CCCC,-46.54,98.42,38.83,49.58,59.43,67.84,81.09,90.98,106.46
CC(C)(OO)CCC=C,-43.14,97.39,43.6,55.28,65.33,73.66,86.46,95.83,110.42
CC(C)C(OO)C(O1)CC1,-71.49,101.55,44.19,56.86,67.91,77.03,90.87,100.82,116.02
CCCCCCC,-44.29,103.62,39.4,49.49,59,67.22,80.31,90.14,105.56
CC(C)C(OO)=CCC,-40.02,111.96,49.54,59.35,67.77,74.81,85.84,94.14,107.45
O1CC1(C)CC(OO)CC,-74.5,104.36,46.15,58.45,69.04,77.76,91.01,100.6,115.37
CC(C)C=C(OO)CC,-41.12,107.07,47.53,58.37,67.45,74.9,86.4,94.95,108.51
CC(C)(O1)CC1CCOO,-79.84,97.63,43.76,56.79,68.03,77.24,91.11,101.04,116.16
c1c(C=O)cccc1,-8.77,79.87,26.25,34.2,41.03,46.59,54.81,60.48,68.71
CC(C)C=CC(OO)C,-41.4,111.34,47.09,57.39,66.3,73.73,85.29,93.91,107.54
CC(C)C(O1)C(OO)C1C,-75.13,104.7,45.81,57.91,68.54,77.36,90.78,100.48,115.34
C=C1C=CC=CC1=O,13.33,80.57,27.29,35.25,41.9,47.27,55.19,60.68,68.74
CC(C)C=CCCOO,-37.28,109.89,48.01,58.49,67.24,74.5,85.91,94.53,108.27
CC(C)CC(O1)C(OO)C1,-68.28,110.07,44.87,57.44,70.27,82.02,97.71,105.2,115.7
OOCC(C)CC=CC,-38.94,100.26,42.85,54.17,64.24,72.73,85.87,95.48,110.34
O1C(OO)C(C)C1CCC,-78.17,107.2,45.05,56.97,67.61,76.52,90.17,100.04,115.14
CC(C)C(OO)C=CC,-42.11,102.93,45.37,55.92,65.25,73.13,85.45,94.58,108.86
CC(O1)(C)C(OO)CC1C,-95.23,90.97,40.72,53.34,64.68,74.28,89.12,99.84,116.35
CC(C)CC(OO)=CC,-41.43,112.57,51.06,60.39,68.21,74.85,85.55,93.74,106.93
CC(C)C(O1)CC1COO,-74.28,97.67,41.84,54.57,65.69,74.88,88.82,98.96,116.45
CC(C)CC=C(OO)C,-42.18,105.49,45.36,56.04,65.31,73.07,85.17,94.13,108.17
O1CC(C)(OO)C1CCC,-72.14,107.34,46.16,57.97,68.44,77.2,90.62,100.35,115.29
CC(C)CC=CCOO,-36.29,114.54,46.98,56.63,65.57,73.21,85.15,93.97,107.71
CC(C)(O1)CC(OO)C1C,-95.38,100.71,46.27,58.89,69.59,78.3,91.44,100.92,115.52
OOCC(C)CCC=C,-36.99,99.69,42.1,53.85,64.27,72.99,86.4,96.16,111.16
CC(C)C(O1)C(OO)CC1,-88.06,102.17,43.77,56.19,67.23,76.42,90.43,100.5,115.84
CC(C)C(OO)CC=C,-39.61,101.46,46.02,57.19,66.56,74.34,86.49,95.53,109.77
O1CC(C)C1C(OO)CC,-70.56,100.92,43.86,56.44,67.47,76.62,90.56,100.6,115.91
CC(C)CC(OO)C=C,-38.66,108.78,46.55,57,66.17,73.85,85.77,94.58,108.4
CC(C)(O1)CC(OO)CC1,-94.38,98.5,44.07,56.77,67.82,76.97,90.83,100.79,115.98
CC(C)CCC(OO)=C,-41.89,104.75,44.4,55.43,65.13,73.22,85.68,94.8,109
CC(C)C(O1)CC(OO)C1,-88.77,102.76,43.91,56.48,67.57,76.78,90.74,100.76,116
COc1ccccc1,-16.9,81.99,29.32,38.39,45.98,52.05,60.99,67.25,76.62
CC(C)CCC=COO,-36.76,107.84,45.98,56.36,65.64,73.45,85.56,94.48,108.41
O1CC(C)C1CC(OO)C,-72.72,100.94,43.67,56.23,67.28,76.47,90.46,100.53,115.89
C1=CC=CC(C)C1(=O),-10.53,79.34,28.12,36.72,44.23,50.47,60.03,67,78.57
C=CC(OO)CCCC,-36.37,116.39,46.23,56.45,65.56,73.22,85.11,93.88,107.61
O1CC(C)C1CCCOO,-70.38,96.18,40.19,53.06,64.61,74.28,89,99.53,115.46
C=CC(=O)C=C=CC,23.54,92.44,34.5,42.2,48.64,53.92,61.98,67.83,76.85
C=CCC(OO)CCC,-37.42,110.74,48.27,59.16,68.18,75.51,86.76,95.17,108.59
OOC(O1)C(C)CC1CC,-98.13,104.57,44.24,56.77,67.78,76.87,90.59,100.41,115.35
C=CC=C=CC(=O)C,20.17,92.92,32.74,40.56,47.33,52.96,61.59,67.83,77.33
C=CCCC(OO)CC,-38.41,103,45.7,57.61,67.4,75.27,87.24,96.07,110.03
O1CC(C)(OO)CC1CC,-91.23,106.6,44.46,56.83,67.74,76.8,90.52,100.36,115.31
C=CC1=CC=C(C)O1,-6.36,85.03,30.01,38.47,45.84,51.92,61.04,67.5,77.19
C=CCCCC(OO)C,-39.18,98.61,42.08,53.98,64.45,73.17,86.53,96.23,111.18
O1CC(C)C(OO)C1CC,-86.62,102,44.57,56.6,67.3,76.27,90.02,99.96,115.12
C1=CC(C)=CC(O)=C1,-30.19,85.61,29.29,38.07,45.6,51.75,60.9,67.34,77
C(OO)C=CCCCC,-34.56,112.86,46.46,56.18,65.17,72.91,85.1,94.14,108.23
OOCC1COC(C)CC1,-91.31,96.79,41.3,54.41,66,75.65,90.32,100.8,116.6
C1=CC(CO)=CC=C1,-22.79,81.88,26.93,35.75,43.5,49.94,59.76,67.09,80.57
CC=CC(OO)CCC,-39.49,113.47,46.97,56.92,65.77,73.26,85,93.74,107.51
O1CC(C)C(OO)CC1C,-93.25,100.81,43.6,55.97,66.96,76.16,90.23,100.37,115.79
CC=CCC(OO)CC,-40.14,109.05,48.29,58.9,67.75,75.03,86.32,94.81,108.4
C(=O)C(OO)CCCCC,-85.08,120.59,47.67,58.61,68.49,76.86,89.84,99.32,113.91
CC=CCCC(OO)C,-41.01,101.25,45.08,56.71,66.45,74.38,86.55,95.57,109.78
C(=O)CC(OO)CCCC,-87.52,115.79,47.27,58.61,68.75,77.27,90.41,99.99,114.7
CC=CCCCC(OO),-37.67,100.03,41.79,53.25,63.58,72.33,85.9,95.79,111
C(=O)CCC(OO)CCC,-91.66,106.31,44.94,57.1,67.94,77.06,91.11,101.29,116.8
C(OO)CC=CCCC,-35.25,112.87,50.02,59.93,68.22,75.16,86.23,94.7,108.3
C(=O)CCCC(OO)CC,-90.97,106.68,46.19,58.17,68.72,77.55,91.15,101.03,116.16
CC(OO)C=CCCC,-39.08,115.39,47.42,57.09,65.84,73.29,85.01,93.75,107.5
C(OO)C(=O)CCCCC,-89.41,116.17,46.45,57.85,68.06,76.65,89.92,99.59,114.43
CCC=CC(OO)CC,-39.57,109.88,45.5,56.04,65.42,73.3,85.47,94.4,108.34
CC(=O)C(OO)CCCC,-93.53,117.3,48.07,58.89,68.63,76.87,89.71,99.14,113.72
